mean,AWATER10,ALAND10,FUNCSTAT10,INTPTLON10,CLASSFP10,ZCTA5CE10,MTFCC10,INTPTLAT10,system:index,GEOID10
0.4365552982613593,17368,8175969,S,-087.8475457,B5,60513,G6350,+41.8250594,00040000000000001853,60513
0.4461647531989275,322264,19287124,S,-087.5521219,B5,60409,G6350,+41.6136412,00040000000000000e7d,60409
0.46354309369534175,163034,17911389,S,-087.7363950,B5,60445,G6350,+41.6343896,00040000000000000e91,60445
0.4959108030633892,177883,9375542,S,-088.1102851,B5,60194,G6350,+42.0348203,00040000000000000e73,60194
0.2128775433414316,595676,3303447,S,-087.6630763,B5,60660,G6350,+41.9911098,0004000000000000197e,60660
0.14248739802734198,83164,4409406,S,-087.6585438,B5,60642,G6350,+41.9020418,00040000000000001977,60642
0.12688389616010784,2031071,3225725,S,-087.6172276,B5,60605,G6350,+41.8675665,00040000000000001876,60605
0.40842441210687114,136161,10879981,S,-087.5994901,B5,60419,G6350,+41.6291472,00040000000000000e81,60419
0.3728918270043482,5011682,26600801,S,-087.5614698,B5,60633,G6350,+41.6638088,00040000000000001974,60633
0.15942868948389816,1480932,10482831,S,-087.6240323,B5,60616,G6350,+41.8448829,0004000000000000187e,60616
0.5210691674132313,964328,40625938,S,-087.8329301,B5,60462,G6350,+41.6253067,00040000000000000e9a,60462
0.29801542305495443,29163,10093806,S,-087.7003511,B5,60625,G6350,+41.9732923,00040000000000001882,60625
0.5566062506482897,163819,24098229,S,-087.7534895,B5,60452,G6350,+41.6080073,000400000000000013ce,60452
0.30707409798655155,10735,18353976,S,-087.6525582,B5,60620,G6350,+41.7404975,000400000000000012ba,60620
0.19663307836735452,2576122,7589170,S,-087.5658787,B5,60649,G6350,+41.7634204,0004000000000000197a,60649
0.38646297919686107,240123,14381543,S,-087.6819519,B5,60406,G6350,+41.6549452,000400000000000013c8,60406
0.260424268926476,253947,13873043,S,-087.7176611,B5,60623,G6350,+41.8488968,000400000000000012bb,60623
0.2803017663806613,24575,9074682,S,-087.7563733,B5,60644,G6350,+41.8800843,00040000000000001978,60644
